"Rank","Player","TGT","TGT %","REC","YDS","Y/R","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"37","Romeo Doubs (GB)","85","0","55","724","13.2","12","6","0","0","0","0","16","165.4","10.3","51.0%"
"38","Tre Tucker (LV)","92","0","57","696","12.2","9","5","11","51","0","0","17","161.7","9.5","39.3%"
"39","Rashid Shaheed (SEA)","92","0","59","687","11.6","6","2","9","69","0","1","18","156.6","8.7","55.9%"
"40","Rashee Rice (KC)","78","0","53","571","10.8","9","5","5","20","1","0","8","150.1","18.8","72.1%"
"41","Rome Odunze (CHI)","90","0","44","661","15.0","13","6","0","0","0","0","12","146.1","12.2","75.3%"
"42","Brian Thomas Jr. (JAC)","91","0","48","707","14.7","11","2","3","21","1","0","14","138.8","9.9","82.9%"
"43","Marquise Brown (KC)","74","0","49","587","12.0","7","5","0","0","0","0","16","137.7","8.6","23.1%"
"44","Josh Downs (IND)","88","0","58","566","9.8","4","4","2","-2","0","1","16","136.4","8.5","55.4%"
"45","Jordan Addison (MIN)","79","0","42","610","14.5","11","3","2","81","1","0","14","135.1","9.7","81.4%"
"46","Christian Watson (GB)","55","0","35","611","17.5","11","6","1","3","0","0","10","132.4","13.2","49.9%"
"47","Jayden Higgins (HOU)","68","0","41","525","12.8","5","6","0","0","0","0","17","129.5","7.6","41.2%"
"48","Luther Burden III (CHI)","60","0","47","652","13.9","11","2","6","37","0","0","15","127.9","8.5","40.7%"
"49","Marvin Harrison Jr. (ARI)","73","0","41","608","14.8","9","4","0","0","0","0","12","127.8","10.7","76.5%"
"50","Chimere Dike (TEN)","74","0","48","423","8.8","6","4","11","18","0","1","17","126.1","7.4","23.8%"
"51","Kayshon Boutte (NE)","46","0","33","551","16.7","10","6","0","0","0","0","14","124.1","8.9","18.8%"
"52","Jerry Jeudy (CLE)","106","0","50","602","12.0","6","2","1","5","0","1","17","120.7","7.1","71.3%"
"53","Cooper Kupp (SEA)","70","0","47","593","12.6","8","2","0","0","0","1","16","117.3","7.3","59.7%"
"54","Malik Washington (MIA)","65","0","46","317","6.9","2","3","17","110","1","1","17","116.7","6.9","13.2%"
"55","Elic Ayomanor (TEN)","89","0","41","515","12.6","8","4","0","0","0","0","16","116.5","7.3","17.7%"
"56","Terry McLaurin (WAS)","60","0","38","582","15.3","7","3","0","0","0","0","10","114.2","11.4","93.4%"
"57","Ryan Flournoy (DAL)","56","0","40","475","11.9","5","4","4","25","0","0","15","114.0","7.6","8.1%"
"58","Mack Hollins (NE)","65","0","46","550","12.0","8","2","1","4","0","0","15","113.4","7.6","3.8%"
"59","Xavier Worthy (KC)","73","0","42","532","12.7","9","1","11","87","0","0","14","109.9","7.9","68.9%"
"60","Keon Coleman (BUF)","59","0","38","404","10.6","5","4","0","0","0","1","13","102.4","7.9","35.5%"
"61","Jalen Nailor (MIN)","53","0","29","444","15.3","9","4","2","13","0","0","17","100.7","5.9","3.0%"
"62","Garrett Wilson (NYJ)","59","0","36","395","11.0","4","4","0","0","0","0","7","99.5","14.2","79.1%"
"63","Darius Slayton (NYG)","63","0","37","538","14.5","7","1","0","0","0","1","14","98.8","7.1","24.7%"
"64","Xavier Hutchinson (HOU)","57","0","35","428","12.2","7","3","3","22","0","0","17","98.0","5.8","3.3%"
"65","DeMario Douglas (NE)","46","0","31","447","14.4","7","3","7","21","0","0","17","95.8","5.6","12.3%"
"66","Marvin Mims Jr. (DEN)","51","0","37","322","8.7","6","1","12","78","1","1","16","93.0","5.8","27.5%"
"67","Tez Johnson (TB)","44","0","28","322","11.5","3","5","8","24","0","0","16","92.6","5.8","11.2%"
"68","Kendrick Bourne (SF)","53","0","37","551","14.9","5","0","0","0","0","0","16","92.1","5.8","4.0%"
"69","Jalen Coker (CAR)","43","0","33","394","11.9","6","3","0","0","0","1","11","90.4","8.2","20.6%"
"70","Andrei Iosivas (CIN)","58","0","33","435","13.2","7","2","3","14","0","0","17","89.9","5.3","7.8%"
"71","Xavier Legette (CAR)","64","0","35","363","10.4","7","3","1","0","0","0","15","89.3","6.0","16.2%"
"72","Ricky Pearsall (SF)","53","0","36","528","14.7","9","0","2","-2","0","0","10","88.6","8.9","56.3%"
"73","Adonai Mitchell (NYJ)","74","0","33","453","13.7","6","2","1","-4","0","1","16","87.9","5.5","26.1%"
"74","Calvin Austin III (PIT)","55","0","31","372","12.0","5","3","0","0","0","0","14","86.2","6.2","9.3%"
"75","Mike Evans (TB)","61","0","30","368","12.3","5","3","0","0","0","0","8","84.8","10.6","93.8%"
"75","Olamide Zaccheaus (CHI)","65","0","39","313","8.0","1","2","4","25","0","0","16","84.8","5.3","2.2%"
"77","KaVontae Turpin (DAL)","38","0","26","396","15.2","5","2","17","89","0","1","15","84.5","5.6","5.6%"
"78","Chris Godwin Jr. (TB)","51","0","33","360","10.9","5","2","0","0","0","0","9","83.0","9.2","73.7%"
"79","Darnell Mooney (ATL)","72","0","32","443","13.8","5","1","0","0","0","0","15","82.3","5.5","53.6%"
"80","Sterling Shepard (TB)","53","0","39","371","9.5","5","1","4","19","0","1","13","82.0","6.3","2.6%"
"81","Tyquan Thornton (KC)","37","0","19","438","23.1","11","3","0","0","0","0","14","80.8","5.8","1.2%"
"82","Isaac TeSlaa (DET)","27","0","16","239","14.9","3","6","0","0","0","0","17","75.9","4.5","14.5%"
"83","Dontayvion Wicks (GB)","46","0","30","332","11.1","3","2","1","6","0","0","14","75.8","5.4","3.8%"
"84","Greg Dortch (ARI)","33","0","29","206","7.1","1","3","7","15","1","0","12","75.1","6.3","2.3%"
"85","Pat Bryant (DEN)","49","0","31","378","12.2","4","1","0","0","0","0","15","74.8","5.0","15.3%"
"86","JuJu Smith-Schuster (KC)","45","0","33","345","10.5","3","1","0","0","0","0","17","73.5","4.3","1.8%"
"87","Tyler Lockett (LV)","55","0","32","291","9.1","2","1","0","0","0","0","17","73.1","4.3","2.8%"
"88","John Metchie III (NYJ)","48","0","33","274","8.3","1","2","3","-5","0","0","16","71.9","4.5","6.5%"
"89","Van Jefferson (TEN)","52","0","29","350","12.1","6","1","0","0","0","0","16","70.0","4.4","0.9%"
"89","Matthew Golden (GB)","44","0","29","361","12.4","7","0","10","49","0","0","14","70.0","5.0","35.8%"
"91","Tre Harris (LAC)","43","0","30","324","10.8","3","1","2","10","0","0","17","69.4","4.1","11.7%"
"92","Jaylin Noel (HOU)","35","0","26","292","11.2","6","2","6","12","0","0","17","68.4","4.0","10.1%"
"93","DeAndre Hopkins (BAL)","39","0","22","330","15.0","5","2","0","0","0","0","17","67.0","3.9","4.5%"
"94","Kalif Raymond (DET)","30","0","24","289","12.0","4","1","2","19","0","0","15","66.8","4.5","0.6%"
