"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","TGT","REC","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"152","Jack Westover (NE)","0","0","0","0","0","0","2","1","0","0.0","0","0","17","0.0","0.0","0.0%"
"153","Jordan Waters (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"154","Isaac Guerendo (SF)","0","0","0","0","0","0","0","0","0","0","0","0","8","0.0","0.0","5.2%"
"155","Michael Wiley (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"156","Jordan James (SF)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","3.0%"
"157","Blake Watson (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"157","Carson Steele (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"157","Deneric Prince (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"157","Damien Martinez (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"161","Jordan Mims (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"161","Brady Russell (SEA)","0","0","0","0","0","0","1","0","0","0","0","0","16","0.0","0.0","0.0%"
"163","Ben VanSumeren (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4%"
"163","Carlos Washington Jr. (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"163","Frank Gore Jr. (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"163","Cody Schrader (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"163","Jonathon Brooks (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.5%"
"168","Robbie Ouzts (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","12","0.0","0.0","0.0%"
"169","Brock Lampe (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"169","Lucas Scott (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"169","Max Hurleman (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"169","ShunDerrick Powell (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"173","Deion Hankins (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"173","Kye Robichaux (DET)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"175","Anthony Tyus III (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"175","Montrell Johnson Jr. (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.3%"
"175","Ahmani Marshall (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"175","Lan Larison (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"179","Gary Brightwell (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"179","Avery Williams (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.1%"
"179","Eric Gray (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","1.0%"
"182","Donovan Edwards (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"182","Deuce Vaughn (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"184","Sincere McCormick (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"185","Ja'Quinden Jackson (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
