"11","Caleb Williams","QB","CHI","17","24.2","18","29.1","12.8","BYE","19.9","5.7","12.8","38.7","25.1","10.3","21.7","10.5","15.9","19","21","23","17.6","19.1","325.2"
"12","Amon-Ra St. Brown","WR","DET","17","8.5","39.2","20.7","26","18","13.7","20.6","BYE","18.7","16.8","6.2","29.9","0","15.2","41.4","9.4","14.8","24.9","19.1","324"
"13","Dak Prescott","QB","DAL","17","7.8","23.1","14","31","28.3","22.3","23.3","8.6","16.4","BYE","24.3","28.1","21.6","20.4","12","19.2","22.7","0.7","19","323.8"
"14","De'Von Achane","RB","MIA","16","16.5","26.2","16.1","17.1","16.6","31","12.8","20.1","16.6","40.5","21.5","BYE","19.4","17.5","18.7","18","14.2","-","20.2","322.8"
"15","Trey McBride","TE","ARI","17","12.1","13.8","15.3","12.2","9.1","21.2","29.4","BYE","16.5","27.7","27.5","16.9","22.2","10.8","37.4","6.7","23.6","13.5","18.6","315.9"
"16","Bo Nix","QB","DEN","17","8.8","21.2","13.4","26.7","17.9","13.4","40","24.8","19.5","7.8","12.6","BYE","17.4","16","29.1","16.2","20.5","10.5","18.6","315.8"
"17","Ja'Marr Chase","WR","CIN","16","4.6","36.5","8.9","7.3","29","25.1","38.1","21.1","17.1","BYE","6","-","18","10.2","23.2","19.9","25","23.6","19.6","313.6"
"18","Jared Goff","QB","DET","17","11.9","34","12.7","13.7","20.1","16.8","11.3","BYE","19.4","24.8","13.1","18.2","20.6","16.2","25.5","26.5","4.1","16.2","17.9","305.1"
"19","Jalen Hurts","QB","PHI","16","24.3","11.5","29","19.4","19.5","21.6","24","25.4","BYE","12","14.5","30.9","17.3","4.4","22.9","19.4","8.9","-","19.1","305.1"
"20","James Cook III","RB","BUF","17","21.2","26.5","20.8","22.5","4.9","8.7","BYE","33.6","13.5","10.7","20.4","21.9","18.7","11.1","31.1","26.4","8.7","1.5","17.8","302.2"
"21","Justin Herbert","QB","LAC","16","27.9","18.8","15.6","14.5","15.6","18.8","29.9","26.3","28.7","14.7","4.3","BYE","13.8","13.2","11.4","30.2","16.1","-","18.7","299.9"
"22","Patrick Mahomes II","QB","KC","14","26","23.1","13.2","27.3","27.7","31.5","26.2","25","11.5","BYE","14.3","18.1","29.4","9.3","14.1","-","-","-","21.2","296.7"
"23","George Pickens","WR","DAL","17","6","17.8","17.8","33.4","13.7","31.8","12.2","14.8","13.9","BYE","29.4","29.6","16.8","8.7","6.3","26","11.8","1.9","17.2","291.9"
"24","Baker Mayfield","QB","TB","17","22.6","19.9","17.7","19.9","26.7","19.6","12.1","4.1","BYE","22.9","17.8","5.5","14.5","12.1","20.2","13.7","19.4","14.2","16.6","282.9"
"25","Chase Brown","RB","CIN","17","13.1","8.5","6","10.1","11.8","8.9","12","25.5","19.2","BYE","18.7","15","18.3","18.5","16","32.9","29.1","19","16.6","282.6"
"26","Derrick Henry","RB","BAL","17","29.2","2.3","10.7","7.8","9.3","14","BYE","19.1","13.1","11.4","20.2","22.8","17.4","11.2","10","22.8","45.6","12.6","16.4","279.5"
"27","Chris Olave","WR","NO","16","12.4","11.4","15.7","10","12.9","15.8","26.8","14","8.7","21.4","BYE","16","14.7","6","20.5","36.8","25.9","-","16.8","269"
"28","Kyren Williams","RB","LAR","17","13.9","10","19.2","10.4","31.1","16.7","8.5","BYE","17.4","22.4","16.6","5.8","13.2","17.7","21.8","11.5","16","11.1","15.5","263.3"
"29","Travis Etienne Jr.","RB","JAC","17","18.6","16.9","11.6","19.5","8.8","9.5","6.5","BYE","16.5","15.7","19.3","20.6","5.1","21.2","31.5","16.6","11.2","4.8","14.9","253.9"
"30","Sam Darnold","QB","SEA","17","5.4","17.8","16.7","16.1","28.6","20","9.6","BYE","28.2","5.9","8.3","17.7","3.1","23.3","11.3","21.5","7.1","8.8","14.7","249.4"
"31","Jaxson Dart","QB","NYG","14","-","-0.3","0.3","19.8","17.6","23.6","29.4","19.4","27.2","26.3","-","-","13.6","BYE","23.1","1","25.1","20.4","17.6","246.6"
"32","Ashton Jeanty","RB","LV","17","12","7.4","6.3","33.5","15.9","16.6","4.4","BYE","19.9","15.3","9.4","24.8","12.1","5.8","8.2","31.8","9.3","12.4","14.4","245.1"
"33","Zay Flowers","WR","BAL","17","28.1","14.9","3.3","14.4","12.2","8.6","BYE","14.1","11.4","12.1","11.3","11.9","0.6","20.6","15.8","21.2","13","29.8","14.3","243.3"
"34","Javonte Williams","RB","DAL","16","20.4","25","12.2","19","26.9","8.4","18.8","17.9","7.3","BYE","10.3","12.1","17","14.7","15.1","6.3","11.4","-","15.2","242.8"
